bat_t0,bat_t1,bat_t2,bat_t3,bat_t4,bat_t5,riot_sum,prot_sum,expl_sum,viol_sum,strat_sum,prevalenceUndernourishment,"Death rate, crude (per 1,000 people)",GDP per Capita,Military expenditure (% of GDP),prevalenceUndernourishment_y2,"Death rate, crude (per 1,000 people)_y2",GDP per Capita_y2,Military expenditure (% of GDP)_y2,rfc,iso3,date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,13.1,14.655999999999999,1299.15312598733,1.8099529808638601,13.1,14.655999999999999,1226.6126297762,2.01259762454174,0.0,LSO,2019-01-01
18.0,17.0,24.0,21.0,31.0,14.0,8.0,79.0,60.0,56.0,42.0,11.5,5.099,7241.70448113024,15.479576301383199,13.400000000000002,5.099,5756.423140182829,15.479576301383199,0.839,LBY,2019-01-01
20.0,15.0,22.0,47.0,34.0,22.0,7.0,24.0,8.0,154.0,60.0,9.9,9.501,1533.74213975885,1.25032908627177,9.9,9.501,1421.5874924368802,1.3061757689993798,0.786,CMR,2019-01-01
68.0,47.0,48.0,54.0,56.0,32.0,67.0,74.0,3.0,247.0,96.0,10.15,8.42,1361.28836364929,2.13479058008095,10.7,5.7639999999999985,2200.5079727093,3.3884910302936713,0.548,COD,2019-01-01
0.0,1.0,0.0,0.0,0.0,1.0,2.0,47.0,0.0,1.0,3.0,10.4,7.3389999999999995,1188.8345875397301,3.01925207389013,10.4,7.3389999999999995,1145.5479472739098,2.9071535653839,0.001,MRT,2019-01-01
0.0,1.0,1.0,0.0,0.0,1.0,2.0,22.0,1.0,2.0,9.0,12.2,3.843,4241.78878213854,4.682528726008179,12.2,3.843,4162.820686572561,4.841143745217691,0.014,JOR,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,1.0,37.2,7.729,677.322178545364,0.7653727598610028,37.2,7.729,698.7017643551101,0.7282714286735921,0.0,LBR,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,27.3,8.23,5931.453886116171,3.3496331905387997,27.3,8.23,5646.45600811344,3.55452276699843,0.002,NAM,2019-01-01
3.0,2.0,1.0,3.0,2.0,0.0,68.0,40.0,0.0,58.0,23.0,41.0,6.769,642.776744292007,1.4250058976975302,41.0,6.769,631.5227197922779,1.2935933759192701,0.006,UGA,2019-01-01
47.0,57.0,64.0,51.0,39.0,71.0,1.0,0.0,535.0,61.0,37.0,7.1,3.446,23338.9634580718,8.77471912659104,7.1,3.446,20803.7425657324,10.2513563494886,0.982,SAU,2019-01-01
7.0,1.0,3.0,3.0,6.0,4.0,39.0,27.0,21.0,241.0,17.0,10.1,8.106,271.752044376648,1.8821614708513899,14.566666666666665,8.106,292.997630684415,1.87065219636162,0.077,BDI,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.1,7.3260000000000005,811.376028602108,20.8657453093811,22.05,7.3260000000000005,811.376028602108,20.8657453093811,0.001,ERI,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,16.1,8.568,679.257083602874,1.97291955976058,16.1,8.568,624.544945930112,1.8855802312923,0.0,TGO,2019-01-01
1.0,6.0,6.0,6.0,2.0,2.0,6.0,8.0,10.0,13.0,13.0,37.5,12.309000000000001,728.343235359289,2.1295595384847,37.5,12.309000000000001,664.303315726258,2.23858942668309,0.432,TCD,2019-01-01
1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,1.0,3.0,10.5,6.997999999999999,7952.525892776509,1.5312076297688402,10.5,6.997999999999999,7212.535744306759,1.81048946881181,0.003,GAB,2019-01-01
1.0,3.0,3.0,6.0,0.0,2.0,10.0,55.0,3.0,2.0,17.0,11.0,4.263,8269.78767551923,4.993891315784589,11.0,4.263,7838.34338489943,4.59676966111758,0.057,LBN,2019-01-01
